theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,importance_surface_downwelling_longwave_flux_in_air,importance_air_temperature,importance_surface_downwelling_shortwave_flux_in_air,importance_northward_wind,importance_precipitation_flux,importance_relative_humidity,importance_eastward_wind,importance_air_pressure
phenology,OSBS,987,10,rcc_90,0.0044052390114062406,4,9,0.051993090569593094,0.01854908413640317,0.033696471190324796,0.009324309320675891,0.03431831201582673,0.0180080285777349,0.010824095384921491,0.01343060881421578
phenology,PUUM,925,10,rcc_90,0.004079325252430512,1,8,0.008478731686574608,0.00583988774068228,0.007253089707562072,0.005708209512021151,0.009441711901967981,0.00845726808848298,0.006445883950424698,0.006234396968256591
phenology,RMNP,959,10,rcc_90,0.012483055111464378,3,8,0.1257357531963079,0.2130837208296356,0.10197396804759522,0.1432592937783802,0.1657551420396212,0.2528235809924427,0.06821567861647417,0.09931383214348975
phenology,SCBI,991,10,rcc_90,0.011098603956086804,3,11,0.1534225155202551,0.2952758935743068,0.18018980572715088,0.04559853161564364,0.12273390146553767,0.09354940374563586,0.05774428694242716,0.05096625232529875
phenology,SERC,994,10,rcc_90,0.008038128124480095,5,3,0.12119627849186697,0.45825612116165615,0.30977789423653607,0.07997783802352604,0.09217702363180608,0.06298033209291473,0.05014304295441579,0.04857059214771351
phenology,SJER,981,10,rcc_90,0.005368851534375535,5,3,0.03332161103314588,0.046718348950186415,0.10238232259358497,0.04642517250945905,0.011114058498113113,0.08486246884333866,0.027988599900013733,0.022264762618359867
phenology,SOAP,695,10,rcc_90,0.006817257577895031,2,5,0.02536300044230406,0.04398183511199491,0.09085812094065585,0.05212415583963131,0.03250861170689323,0.05269003504005657,0.02682961970474405,0.0320439205004821
phenology,SRER,990,10,rcc_90,0.005289740258348121,8,3,0.08297899412030547,0.04246073765691254,0.08295394820574496,0.02427570743017439,0.01752162629301388,0.05973250865717401,0.023682438831329946,0.02056173127169512
phenology,STEI,991,10,rcc_90,0.009125879128726009,3,8,0.06557474749462665,0.16631241897212912,0.10138368871489072,0.03686566865286321,0.047557955215396894,0.08981076906689736,0.027079480235749954,0.05069147505143274
phenology,STER,963,10,rcc_90,0.01133992642334634,5,3,0.2107116576816398,0.6408843020445526,0.18844828973585645,0.09582885297127057,0.0801357283694914,1.2065698823545867,0.0898651430012426,0.1729934182874179
phenology,TALL,987,10,rcc_90,0.004225162289202377,4,6,0.034253131352254745,0.0164246763625901,0.04354245274562795,0.01104453441893562,0.04072367404402257,0.026494592448446114,0.012230044965729634,0.013553885537186207
phenology,TEAK,608,10,rcc_90,0.008613399225564892,2,9,0.021900462102375045,0.04251337124127903,0.03606095514313401,0.02211013317049603,0.03979340662583081,0.043537306686817885,0.02381341489052884,0.030912191323965832
phenology,TOOL,622,10,rcc_90,0.015396521723293397,6,8,0.7479145847215389,2.5916542868804533,0.17427995165986965,0.06326991193284276,0.11429719657928535,0.10753875188653192,0.07505056144085984,0.07695918992572638
phenology,TREE,992,10,rcc_90,0.011330917276029494,5,2,0.1498489523789965,0.5877184687654302,0.2805504776235034,0.11945436973153369,0.14585552958338327,0.24657533136826423,0.09060032741930402,0.179824089802275
phenology,UKFS,989,10,rcc_90,0.006088891120347354,6,6,0.03363932115092009,0.07822012437093682,0.09327775020551507,0.019342160334522716,0.05833581672172225,0.08392846324273168,0.020919473088359276,0.023100745060800475
phenology,UNDE,960,10,rcc_90,0.012686598158329022,3,7,0.14991902369395,0.38971050978539046,0.23908594261402158,0.08704746909994024,0.1111383619181999,0.1543801005841183,0.07336438301337266,0.10215485725211874
phenology,WOOD,996,10,rcc_90,0.010517890565912512,4,3,0.2610400385372783,0.8749974455644762,0.17191245367867794,0.09085253010290821,0.0883003137450861,1.2492363224853498,0.08216828266437753,0.11664596220627965
phenology,WREF,992,10,rcc_90,0.005473711815809731,5,7,0.024804960823023723,0.04569329733944699,0.14557640405808464,0.050067605451045924,0.03694494072792918,0.02856801389526885,0.024542723669967265,0.04775006635516557
phenology,YELL,968,10,rcc_90,0.007281434133123889,2,8,0.02821042784587885,0.0556431329732696,0.04741764458451669,0.020927690171203,0.028101732065775684,0.047501132127371296,0.02704341113710953,0.03811034570142582
terrestrial_daily,ABBY,705,10,nee,0.5739472331906869,5,5,212.12133530515328,296.3371091105014,1414.360277370475,513.2258576275215,439.84836900604967,483.2267300859074,175.6729824435768,166.1752826602615
terrestrial_daily,BARR,242,10,nee,0.15593080358987005,3,9,11.393776119989118,24.777064474567663,5.859658287374051,2.4984545852458977,2.8727690467386178,2.2394668153997954,1.8475376424553156,2.333348350626867
terrestrial_daily,BART,698,10,nee,0.8033366751293363,3,7,1158.20777046929,2321.9204032911784,1107.4261649816515,338.8390894498297,202.64356067310527,479.8017454566728,218.29611537628057,233.92270672973635
terrestrial_daily,BLAN,765,10,nee,0.8304059053964962,3,4,1080.3207409807612,3237.891293794275,2691.6561390140882,454.6466052767729,419.25583944522504,628.6470194041327,491.9994661812813,405.37954830443
terrestrial_daily,BONA,630,10,nee,0.34640265224468936,3,12,51.85821146208468,121.61578304700484,121.62791278342189,27.813023836528565,19.324583451518745,101.59799513076283,18.629590621494202,20.252433354230885
terrestrial_daily,CLBJ,813,10,nee,0.8093331913448656,3,6,772.7346075584256,1601.4488380236057,1568.508163595351,454.7127824059252,246.8234187568177,516.2643697765358,337.6553286503911,333.94216316283655
terrestrial_daily,CPER,695,10,nee,0.5317612532041591,2,11,88.30431489376643,61.47776315580731,145.81679916296505,48.94963529859953,60.78375499464249,55.19649413769594,48.476332983971474,41.23659926239873
terrestrial_daily,DCFS,744,10,nee,0.5003207450933495,2,6,184.37916795090038,227.0663176450021,351.9429891009754,73.68301564299476,83.85316664396585,144.70821090773137,89.10233685150573,86.7430642315678
terrestrial_daily,DEJU,665,10,nee,0.25135503087114996,4,8,88.23259142272384,202.26350992923247,91.28522675502204,19.29414084172868,20.95070107655323,46.829744467430686,18.20968362896492,17.444786711002774
terrestrial_daily,DELA,662,10,nee,0.9491108926389992,3,6,1260.7893495992882,2912.782344117586,3880.524895616148,425.1255726184264,395.5562486886996,508.2092591630823,443.38644161193247,490.410990919308
terrestrial_daily,DSNY,648,10,nee,0.5446388816618022,2,2,214.00184310477312,264.2372337211846,327.0168941868622,204.69261105877885,173.894453746944,284.2862448822047,241.37111485352798,141.4619799857181
terrestrial_daily,GRSM,603,10,nee,0.949136458229841,5,5,765.0397152993658,2913.607871107642,2321.497108912977,371.51188203904326,396.6925118442855,342.50129992381926,679.0898516708495,347.0555764322611
terrestrial_daily,GUAN,509,10,nee,0.5582193580293467,5,7,126.70924730816817,317.12314873175904,630.0860782778175,197.89108065452714,97.50036784912474,138.1982563543222,147.73204145854115,114.54729693424915
terrestrial_daily,HARV,667,10,nee,0.8747464975280776,5,3,1147.9616720782967,3949.0225450648168,1345.3971437077673,426.0636102210613,369.4221991492571,510.831367795638,617.4766186095962,537.0822654822927
terrestrial_daily,HEAL,700,10,nee,0.19658528878270498,3,3,100.88312462449137,192.81678467792995,58.99055069154581,25.858462590150587,20.725585906233693,53.00123122352309,20.586230973932825,33.587631695402536
terrestrial_daily,JERC,734,10,nee,0.603755503475075,3,2,373.272130266764,584.2918678157896,1452.9330714444877,282.37145897678045,256.6746657364601,476.4395977215622,410.30817413732365,300.0261966607642
