theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
phenology,STEI,929,10,gcc_90,0.026972978024548615,3,1.1408742177267267e-5
phenology,STER,903,10,gcc_90,0.02009764894344512,3,5.563124261727976e-6
phenology,TALL,928,10,gcc_90,0.01956951008961215,3,6.701062542059479e-6
phenology,TEAK,608,10,gcc_90,0.028868798538642017,7,0.0010581132752999932
phenology,TOOL,562,10,gcc_90,0.0339158837768455,8,2.4953308790188447e-6
phenology,TREE,930,10,gcc_90,0.03137124605066369,3,7.612172195355782e-9
phenology,UKFS,927,10,gcc_90,0.02303851919435425,3,1.8637265291809218e-6
phenology,UNDE,899,10,gcc_90,0.02491040434961354,3,3.136188045703196e-10
phenology,WOOD,934,10,gcc_90,0.016596436029018165,3,1.644714174049428e-7
phenology,WREF,930,10,gcc_90,0.018967729189309158,3,0.0010862382250980249
phenology,YELL,906,10,gcc_90,0.025646585416057823,3,1.238411506666581e-9
phenology,ABBY,927,10,rcc_90,0.021554651191672474,3,2.2853993678102248e-4
phenology,BARR,514,10,rcc_90,0.04374583484257622,9,2.423777720214218e-10
phenology,BART,928,10,rcc_90,0.03613944540795062,3,1.43056398514764e-7
phenology,BLAN,931,10,rcc_90,0.020924857948448505,3,1.396776537672164e-9
phenology,BONA,615,10,rcc_90,0.025367824115248086,6,0.21863329856602862
phenology,CLBJ,928,10,rcc_90,0.024228462698865215,3,7.463834780700927e-7
phenology,CPER,927,10,rcc_90,0.03948863608770933,3,5.102702270147898e-7
phenology,DCFS,930,10,rcc_90,0.0414229557350829,3,6.00519560658112e-4
phenology,DEJU,665,10,rcc_90,0.0220239010663051,5,4.3487286471255697e-8
phenology,DELA,933,10,rcc_90,0.02546455041328748,3,0.55823117454430915
phenology,DSNY,929,10,rcc_90,0.024452020084499485,3,0.17346873753680953
phenology,GRSM,933,10,rcc_90,0.03172186518253121,3,4.127168978976532e-6
phenology,GUAN,911,10,rcc_90,0.015239486072907827,3,4.883517116909723e-6
phenology,HARV,914,10,rcc_90,0.039261374483327297,3,1.5207605581320696e-5
phenology,HEAL,656,10,rcc_90,0.05502933182409063,6,1.2688782169824571e-9
phenology,JERC,929,10,rcc_90,0.014747810071048344,3,0.0036999045914966025
phenology,JORN,932,10,rcc_90,0.019309817555922298,3,1.590021604301701e-5
phenology,KONA,927,10,rcc_90,0.03673504664543459,3,9.105866684785175e-9
