theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty,last_targets_date
phenology,DSNY,823,10,rcc_90,0.028670861802848432,4,1.9720962247339257e-6,2022-12-31
phenology,GRSM,824,10,rcc_90,0.04126765749198636,4,7.955975184673442e-9,2022-12-31
phenology,GUAN,805,10,rcc_90,0.016394970014674364,4,2.477735024199948e-10,2022-12-31
phenology,HARV,808,10,rcc_90,0.03968079209214601,4,8.273326001253886e-4,2022-12-31
phenology,HEAL,584,10,rcc_90,0.05764803132639096,7,1.332620425033466e-7,2022-12-31
phenology,JERC,823,10,rcc_90,0.022352339326327988,4,1.6828536030979367e-4,2022-12-31
phenology,JORN,826,10,rcc_90,0.025279656879835487,4,0.4602108260168863,2022-12-31
phenology,KONA,821,10,rcc_90,0.03900147955052408,4,3.88475835327572e-4,2022-12-31
phenology,KONZ,819,10,rcc_90,0.03278204624836512,4,1.1121561668803387e-10,2022-12-31
phenology,LAJA,798,10,rcc_90,0.02448275367930052,4,3.162118494147274e-9,2022-12-31
phenology,LENO,808,10,rcc_90,0.023220503338113242,4,2.5760983668106497e-7,2022-12-31
phenology,MLBS,818,10,rcc_90,0.036582792065689033,4,9.056710038571106e-8,2022-12-31
phenology,MOAB,811,10,rcc_90,0.033993237430227564,4,3.4734281454264226e-7,2022-12-31
phenology,NIWO,817,10,rcc_90,0.03411337542339232,4,3.6192028965304185e-7,2022-12-31
phenology,NOGP,820,10,rcc_90,0.041485766010693134,4,0.003726878575721945,2022-12-31
phenology,OAES,776,10,rcc_90,0.026467020494511544,4,2.0906841520086567e-10,2022-12-31
phenology,ONAQ,794,10,rcc_90,0.0322490241502324,4,0.08703926484065018,2022-12-31
phenology,ORNL,802,10,rcc_90,0.030686249623199227,4,5.352018598511837e-7,2022-12-31
phenology,OSBS,824,10,rcc_90,0.015040948716414612,4,2.1469954066702967e-4,2022-12-31
phenology,PUUM,757,10,rcc_90,0.02958857786506263,5,1.471656750083915e-7,2022-12-31
phenology,RMNP,793,10,rcc_90,0.032089097074912004,4,1.0786632125594714e-10,2022-12-31
phenology,SCBI,823,10,rcc_90,0.03197072941993199,4,1.9350751285760276e-6,2022-12-31
phenology,SERC,824,10,rcc_90,0.033422512649619984,4,7.91287481007126e-4,2022-12-31
phenology,SJER,813,10,rcc_90,0.0203257283429015,4,0.0044233809642183165,2022-12-31
phenology,SOAP,695,10,rcc_90,0.02533445541966077,5,3.936171944502621e-5,2022-12-31
phenology,SRER,822,10,rcc_90,0.027148313973372775,4,1.511385372991106e-7,2022-12-31
phenology,STEI,823,10,rcc_90,0.027595776017710016,4,2.6896509924971047e-10,2022-12-31
phenology,STER,797,10,rcc_90,0.037895642984071644,4,0.0033598786983356113,2022-12-31
phenology,TALL,822,10,rcc_90,0.01729924519029296,4,1.9000298698181077e-9,2022-12-31
phenology,TEAK,795,10,rcc_90,0.018659044400590345,4,3.2486909742175126e-4,2022-12-31
phenology,TOOL,505,10,rcc_90,0.059721811688887974,9,0.626218496886296,2022-12-31
phenology,TREE,824,10,rcc_90,0.04613697738794442,4,3.4444982393062146e-5,2022-12-31
phenology,UKFS,821,10,rcc_90,0.023913323446056126,3,4.115570522164913e-9,2022-12-31
phenology,UNDE,793,10,rcc_90,0.0371485217299298,4,0.01364684294537328,2022-12-31
phenology,WOOD,828,10,rcc_90,0.03792750641040967,4,0.0010629837903112973,2022-12-31
phenology,WREF,824,10,rcc_90,0.025943690422409203,4,4.450564385782886e-6,2022-12-31
phenology,YELL,810,10,rcc_90,0.021591470323163022,4,2.2471029708974428e-4,2022-12-31
terrestrial_daily,ABBY,605,10,nee,1.7339152385755086,8,4.366374086266515e-4,2022-12-31
terrestrial_daily,BARR,164,10,nee,0.4319267104857511,7,2.7720992797299783e-5,2022-12-31
terrestrial_daily,BART,599,10,nee,1.8372759698324233,7,0.0023092959505254017,2022-12-31
terrestrial_daily,BLAN,664,10,nee,2.0758359899822336,8,1.0751290423525827e-6,2022-12-31
terrestrial_daily,BONA,529,10,nee,0.7313267977619088,4,0.2591512952373635,2022-12-31
terrestrial_daily,CLBJ,696,10,nee,1.8881524918230037,4,1.629147140037075e-9,2022-12-31
terrestrial_daily,CPER,481,10,nee,1.0643125331595746,5,5.180410486406775e-7,2022-12-31
terrestrial_daily,DCFS,643,10,nee,1.190567384708541,9,9.456570539597277e-8,2022-12-31
terrestrial_daily,DEJU,666,10,nee,0.6868811544170729,4,6.62065186095916e-6,2022-12-31
terrestrial_daily,DELA,583,10,nee,2.2703351481215917,8,7.248578613732869e-4,2022-12-31
terrestrial_daily,DSNY,551,10,nee,1.5159994021773118,6,3.433022177711416e-6,2022-12-31
terrestrial_daily,GRSM,554,10,nee,2.372358860969287,5,6.460562257956143e-10,2022-12-31
terrestrial_daily,GUAN,414,10,nee,1.3222264565620845,3,0.001115414890215572,2022-12-31
terrestrial_daily,HARV,585,10,nee,2.382357982128836,7,1.5581040782116907e-4,2022-12-31
terrestrial_daily,HEAL,599,10,nee,0.6962106802834268,4,1.1465516040821984e-6,2022-12-31
terrestrial_daily,JERC,647,10,nee,1.7522346643734563,10,1.256244913515525e-9,2022-12-31
terrestrial_daily,JORN,675,10,nee,0.7471417793076668,8,1.4294891556821604e-5,2022-12-31
terrestrial_daily,KONA,520,10,nee,2.957466161132263,3,0.06403671489171572,2022-12-31
terrestrial_daily,KONZ,591,10,nee,1.637576095929418,4,3.604806846706418e-5,2022-12-31
terrestrial_daily,LAJA,389,10,nee,2.8801071515053542,7,1.6942183011602766e-8,2022-12-31
terrestrial_daily,LENO,278,10,nee,2.309687092287933,5,3.6283304589787425e-5,2022-12-31
terrestrial_daily,MLBS,510,10,nee,1.9703392079248552,4,3.656419437700729e-5,2022-12-31
terrestrial_daily,MOAB,625,10,nee,0.381794033928638,5,1.5515110477933012e-8,2022-12-31
terrestrial_daily,NIWO,485,10,nee,0.5400607780883263,9,0.011041521069767033,2022-12-31
terrestrial_daily,NOGP,533,10,nee,1.0446326108247583,4,1.1312416652303819e-8,2022-12-31
terrestrial_daily,OAES,667,10,nee,1.261685193546704,8,6.578603962881803e-6,2022-12-31
terrestrial_daily,ONAQ,593,10,nee,0.7175611807444495,9,4.085120153865563e-9,2022-12-31
terrestrial_daily,ORNL,628,10,nee,2.4490722331239465,5,1.1667169807135308e-6,2022-12-31
terrestrial_daily,OSBS,466,10,nee,0.8841986191245029,6,0.011552701615022773,2022-12-31
terrestrial_daily,PUUM,358,10,nee,1.1621421506428988,10,3.349788311070531e-8,2022-12-31
terrestrial_daily,RMNP,618,10,nee,1.275475082403663,6,0.028346156840643913,2022-12-31
terrestrial_daily,SCBI,465,10,nee,2.2570052317720917,5,0.008344030891933227,2022-12-31
terrestrial_daily,SERC,671,10,nee,1.9491446360382063,6,5.688607449741834e-7,2022-12-31
terrestrial_daily,SJER,586,10,nee,1.4570147033073593,9,1.133796710599411e-10,2022-12-31
terrestrial_daily,SOAP,430,10,nee,0.7997317643111772,6,2.7437604845505417e-7,2022-12-31
terrestrial_daily,SRER,554,10,nee,0.561338094262907,9,1.479668977200667e-4,2022-12-31
terrestrial_daily,STEI,547,10,nee,1.8842896608443085,10,1.7325053519922975e-5,2022-12-31
terrestrial_daily,STER,452,10,nee,1.0803768603368997,5,0.07704284621471659,2022-12-31
terrestrial_daily,TALL,538,10,nee,1.5959735305478195,10,4.692285329419909e-8,2022-12-31
terrestrial_daily,TEAK,505,10,nee,1.1913047649358397,10,9.342991026488123e-9,2022-12-31
terrestrial_daily,TOOL,422,10,nee,0.5536435399320997,2,3.8966461138269324e-4,2022-12-31
terrestrial_daily,TREE,656,10,nee,2.119789314169208,4,5.941075300783759e-9,2022-12-31
terrestrial_daily,UKFS,652,10,nee,1.6251940202140926,9,5.9464886020416945e-9,2022-12-31
terrestrial_daily,UNDE,615,10,nee,1.7596844341572127,4,7.927057950042345e-7,2022-12-31
terrestrial_daily,WOOD,605,10,nee,1.1259354834112285,9,3.6314798881889576e-10,2022-12-31
terrestrial_daily,WREF,482,10,nee,2.0612938748248637,9,1.0711935574133722e-6,2022-12-31
terrestrial_daily,YELL,552,10,nee,0.6589312996762398,2,8.97585316110491e-8,2022-12-31
terrestrial_daily,ABBY,605,10,le,19.966510403278146,7,1.3288026829302176e-10,2022-12-31
terrestrial_daily,BARR,164,10,le,6.115850523481255,9,7.769382338237607e-7,2022-12-31
terrestrial_daily,BART,599,10,le,24.010242635800363,9,0.12757112354034444,2022-12-31
terrestrial_daily,BLAN,664,10,le,31.092597787538015,7,3.1390833506973134e-5,2022-12-31
terrestrial_daily,BONA,529,10,le,8.888083751168613,10,1.7392799007229173e-7,2022-12-31
terrestrial_daily,CLBJ,696,10,le,34.71514916457039,6,1.338638849806314e-10,2022-12-31
terrestrial_daily,CPER,481,10,le,17.944403081111897,10,1.3317051108852613e-8,2022-12-31
terrestrial_daily,DCFS,643,10,le,23.92516533151301,9,2.5074239099194556e-4,2022-12-31
terrestrial_daily,DEJU,666,10,le,12.047219517902224,7,0.20736677810364246,2022-12-31
terrestrial_daily,DELA,583,10,le,29.246400491458004,8,9.524316881037478e-6,2022-12-31
terrestrial_daily,DSNY,551,10,le,20.240533745932094,7,1.175574326160792e-10,2022-12-31
terrestrial_daily,GRSM,554,10,le,24.405516425355007,9,3.577634885695905e-5,2022-12-31
terrestrial_daily,GUAN,414,10,le,20.948094462101338,10,1.0083775738198275e-9,2022-12-31
terrestrial_daily,HARV,585,10,le,25.318306894571954,9,4.831037313014864e-9,2022-12-31
terrestrial_daily,HEAL,599,10,le,12.873734706006474,9,9.777634030278253e-8,2022-12-31
terrestrial_daily,JERC,647,10,le,30.015198205920196,6,6.485266119209578e-6,2022-12-31
terrestrial_daily,JORN,675,10,le,16.14683116026639,9,0.002235952655378846,2022-12-31
terrestrial_daily,KONA,520,10,le,28.79587657068654,9,0.03472106161332849,2022-12-31
terrestrial_daily,KONZ,591,10,le,24.655770795572458,8,0.018522697973430216,2022-12-31
terrestrial_daily,LAJA,389,10,le,25.13269987879355,10,0.18741652440201348,2022-12-31
terrestrial_daily,LENO,278,10,le,28.374072172568,10,3.4553506814566744e-4,2022-12-31
terrestrial_daily,MLBS,510,10,le,15.369110984245825,10,1.076769457739805e-4,2022-12-31
terrestrial_daily,MOAB,625,10,le,21.569756660058484,7,1.1325715790793837e-9,2022-12-31
terrestrial_daily,NIWO,485,10,le,20.653759553823576,10,1.1045051234107915e-9,2022-12-31
terrestrial_daily,NOGP,533,10,le,23.5149149581178,10,2.371909210401314e-7,2022-12-31
terrestrial_daily,OAES,667,10,le,23.287307799552885,6,6.799456115610331e-4,2022-12-31
terrestrial_daily,ONAQ,593,10,le,15.02930609706884,8,9.597492120990316e-4,2022-12-31
terrestrial_daily,ORNL,628,10,le,30.3806812537407,7,0.00638320025275122,2022-12-31
terrestrial_daily,OSBS,466,10,le,13.756932397932713,10,1.9614454332747363e-5,2022-12-31
terrestrial_daily,PUUM,358,10,le,23.296303539548735,10,0.004420495387915039,2022-12-31
terrestrial_daily,RMNP,618,10,le,17.3909647908323,8,9.508662009851958e-10,2022-12-31
terrestrial_daily,SCBI,465,10,le,34.00860456588943,10,0.8499307413296341,2022-12-31
terrestrial_daily,SERC,671,10,le,26.89655182792891,7,1.2880762006800178e-6,2022-12-31
terrestrial_daily,SJER,586,10,le,15.804401389506227,8,0.002210827394573236,2022-12-31
terrestrial_daily,SOAP,430,10,le,16.107648430021012,9,2.1071069636874075e-6,2022-12-31
terrestrial_daily,SRER,554,10,le,14.88979552731418,10,0.0015421954337601553,2022-12-31
terrestrial_daily,STEI,547,10,le,18.65004949959445,10,1.858286469525355e-6,2022-12-31
terrestrial_daily,STER,452,10,le,18.396051366719007,9,6.198829719845891e-6,2022-12-31
terrestrial_daily,TALL,538,10,le,22.68583023453695,8,1.6917259711969542e-8,2022-12-31
terrestrial_daily,TEAK,505,10,le,27.05071550348683,10,0.010287804796727024,2022-12-31
terrestrial_daily,TOOL,422,10,le,9.423546315479719,10,0.034777774617762484,2022-12-31
terrestrial_daily,TREE,656,10,le,26.223736106864756,9,2.8998263839655804e-5,2022-12-31
terrestrial_daily,UKFS,652,10,le,30.975122173042053,8,1.3744811926751125e-10,2022-12-31
terrestrial_daily,UNDE,615,10,le,21.789555589868705,9,0.03155109340786547,2022-12-31
terrestrial_daily,WOOD,605,10,le,19.826122999666083,9,3.371309128572945e-9,2022-12-31
terrestrial_daily,WREF,482,10,le,19.589509834908498,9,1.5321508072617536e-7,2022-12-31
terrestrial_daily,YELL,552,10,le,18.527293527241874,9,3.7841150996267037e-10,2022-12-31
