theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
phenology,STER,797,10,gcc_90,0.006664944,4,10,12/31/2022,0.069582514,0.032252777,0.070910935,0.009763109,0.015237166269224462,0.028257825,0.018286109,0.013984610475267492
phenology,TALL,822,10,gcc_90,0.001580251,5,5,12/31/2022,0.010786651428423274,0.042249806,0.008907261,0.001520224,0.001118896,0.001588057,0.003063183,0.0015096
phenology,TEAK,608,10,gcc_90,0.001752742,5,11,12/31/2022,0.004186642,0.011273839939928245,0.003633521,0.001536996,0.001910668,0.002444252,0.00147809,8.899871490275056e-4
phenology,TOOL,505,10,gcc_90,0.004589756,5,3,12/31/2022,0.042485338,0.075328177,0.014821478334135467,0.009811047,0.013035810300541658,0.009113524,0.007624938,0.010985643829415762
phenology,TREE,824,10,gcc_90,0.009351432,2,5,12/31/2022,0.2611678208476976,0.41545509262723584,0.23286370551188781,0.037409457,0.073332251,0.0593342,0.051651145,0.062929865
phenology,UKFS,822,10,gcc_90,0.006094307,7,4,12/31/2022,0.48813195994471137,0.29274099,0.11471243544419268,0.015087359970260434,0.021130107318517905,0.043607886570469594,0.048749357,0.032038676
phenology,UNDE,793,10,gcc_90,0.006917884,4,5,12/31/2022,0.18704660906756213,0.451059059,0.15413455450137484,0.020921872618691946,0.038049371,0.029020347726333225,0.031341431966612376,0.038181203
phenology,WOOD,828,10,gcc_90,0.006585255,4,22,12/31/2022,0.049644043,0.057428811,0.033173946,0.005753715,0.007754479,0.027427680459205055,0.004570651,0.005147398
phenology,WREF,824,10,gcc_90,0.001718263,4,4,12/31/2022,0.004696456,0.039705881,0.019920405324356225,0.005132089,0.003565512,0.00813719,0.003310274,0.003419614
phenology,YELL,810,10,gcc_90,0.001356037,3,12,12/31/2022,0.008559907,0.020153158,0.003923487,5.681830488493303e-4,9.673672974422724e-4,0.007165407,6.234059863395256e-4,0.001822841
phenology,ABBY,821,10,rcc_90,0.006401264,6,7,12/31/2022,0.063044947,0.055732791,0.1154304429108361,0.020418273,0.016782114,0.021859725066391108,0.021168806292874078,0.025917467
phenology,BARR,464,10,rcc_90,0.013162672559204946,5,9,12/31/2022,0.2631589254746417,1.0741980805741118,0.079954963,0.022087969,0.029372987263480654,0.036103724921121516,0.027175831843686347,0.059055355
phenology,BART,822,10,rcc_90,0.012928597,6,8,12/31/2022,0.1029493640944723,0.34585773883552284,0.2141300853649347,0.071149369,0.10400055277128682,0.068096151,0.063262349,0.054884479495603176
phenology,BLAN,828,10,rcc_90,0.008183402,5,11,12/31/2022,0.056008996088476946,0.17744115836354524,0.066031162,0.018983487107859447,0.032825643,0.051466485,0.031573868,0.018096221066573846
phenology,BONA,547,10,rcc_90,0.006918502,4,6,12/31/2022,0.037391611,0.13077193740158016,0.049584575,0.017565386233020334,0.023976706343702744,0.065276755,0.015469991195038887,0.013973944850451205
phenology,CLBJ,824,10,rcc_90,0.005913768,6,6,12/31/2022,0.076876014,0.050147814,0.075568791,0.020574514787248862,0.016886982,0.036433729,0.018127833957014488,0.018843568
phenology,CPER,821,10,rcc_90,0.010828134641281899,7,3,12/31/2022,0.14239443796536347,0.19445507658921127,0.11975737883817653,0.09110716,0.050966971,0.4572985948046483,0.057613127,0.087053419
phenology,DCFS,824,10,rcc_90,0.015595118845375124,5,17,12/31/2022,0.13222547413152716,0.8048948521576909,0.0916007,0.045247636,0.044617955520790814,0.7584963365375706,0.034149442,0.063362481
phenology,DEJU,593,10,rcc_90,0.006774879,4,12,12/31/2022,0.023639573,0.10971123593560869,0.059038703,0.012512117,0.024259546,0.048375532,0.012987031224205262,0.005934637
phenology,DELA,827,10,rcc_90,0.008058331,4,9,12/31/2022,0.098355211,0.1878288215427461,0.11241680446997888,0.022986955022200224,0.02890529,0.031339806,0.044846963398073744,0.039365568
phenology,DSNY,823,10,rcc_90,0.007742948,3,6,12/31/2022,0.046211817665155745,0.061788527,0.1292524622313252,0.030437067,0.030858698,0.035650492230898764,0.035458646,0.026137715848456314
phenology,GRSM,827,10,rcc_90,0.009477213,3,3,12/31/2022,0.1829233394941467,0.3114453828065194,0.187224576,0.066371868,0.099812606,0.11477910989225286,0.07159061,0.063864724
phenology,GUAN,805,10,rcc_90,0.004538859,4,5,12/31/2022,0.018045294290353286,0.026514131524868825,0.040763580870576584,0.012409690021351305,0.016175766934120348,0.0476468,0.011965133,0.029954314
phenology,HARV,808,10,rcc_90,0.010965262066061864,3,2,12/31/2022,0.16436872956075751,0.29821211241492007,0.19795970658523024,0.080228155,0.097290963,0.15060645317902815,0.093248197,0.094599862
phenology,HEAL,584,10,rcc_90,0.015831392687020576,7,7,12/31/2022,0.4941881070169241,2.6866753248711666,0.2673551217684722,0.093383696,0.058282349402989896,0.058574708,0.10549419568741215,0.074371453
phenology,JERC,823,10,rcc_90,0.003941033,5,2,12/31/2022,0.044002885,0.022960615450462785,0.049904526390561504,0.010931327607741131,0.034787863,0.018755806540374464,0.012360487,0.011583199356396342
phenology,JORN,826,10,rcc_90,0.005453202,3,5,12/31/2022,0.030857007004850133,0.027223518481206826,0.019329587909649764,0.015137740157163957,0.014499654951622422,0.019934242,0.015652437626686937,0.017949551
phenology,KONA,821,10,rcc_90,0.012774903901759033,5,4,12/31/2022,0.13103944240816395,0.28795625612666603,0.16359616572984303,0.092737843,0.10036102444998878,0.2606661612059505,0.096804045,0.09646533
phenology,KONZ,819,10,rcc_90,0.010025430442599587,6,4,12/31/2022,0.6012570706744435,0.22314132889766253,0.2838574937537993,0.062033667,0.071347147,0.10666487583563036,0.069671016,0.055093664
phenology,LAJA,798,10,rcc_90,0.006010868,4,6,12/31/2022,0.036256877,0.040403717,0.031926758749531665,0.019329084306056253,0.023645853,0.022288130468794968,0.018672106213922506,0.041961241
phenology,LENO,808,10,rcc_90,0.007724792,7,8,12/31/2022,0.056101681,0.2719353200888905,0.089931463,0.023437823519331002,0.020848598,0.032208927611844095,0.051389501253036186,0.029574073390279267
phenology,MLBS,818,10,rcc_90,0.011340992127170069,5,10,12/31/2022,0.086964816,0.1851269755200124,0.15944198105579424,0.044340773672934194,0.073688834,0.078312726,0.039424574,0.059608479454510116
phenology,MOAB,811,10,rcc_90,0.011640222778864404,4,7,12/31/2022,0.10388808479731956,0.4599946619194665,0.20597310047287487,0.060891064919089716,0.041665486,0.23072546499974433,0.069211153,0.092903242
phenology,NIWO,817,10,rcc_90,0.009381886,7,4,12/31/2022,0.12531846278003256,1.314950530650507,0.2176215063708183,0.067981136,0.087419621,0.16297357731204193,0.06340263,0.2845088433070595
phenology,NOGP,820,10,rcc_90,0.013477257724069764,4,9,12/31/2022,0.15650996814711754,0.4412617369528403,0.14172476347457502,0.072971897,0.061051973,0.5762810742130948,0.047356578,0.057276385141173176
phenology,OAES,776,10,rcc_90,0.00796747,5,5,12/31/2022,0.10705168172409184,0.059141831,0.089159147,0.034434623,0.039867321,0.10715127383191594,0.033729896949871024,0.028920864362003654
phenology,ONAQ,794,10,rcc_90,0.00760134,6,6,12/31/2022,0.039131515,0.46253967118912254,0.085673318,0.043798832,0.019532189096708657,0.16933129073629036,0.041258995,0.044217169
phenology,ORNL,802,10,rcc_90,0.009706644,3,7,12/31/2022,0.094301679,0.2085401128029818,0.16582159706131555,0.040893633,0.044826635475871755,0.063629506,0.035160221,0.053023102920001765
phenology,OSBS,824,10,rcc_90,0.005512033,3,16,12/31/2022,0.038847235739982396,0.020662080410556675,0.027865070519889575,0.005960353,0.026062637600600545,0.017909684,0.007989176,0.008199632
phenology,PUUM,757,10,rcc_90,0.004356973,3,13,12/31/2022,0.005192844,0.004921984,0.006618204,0.004337417,0.008754217,0.006440727,0.004381624,0.004571045
phenology,RMNP,793,10,rcc_90,0.010510929160075256,3,4,12/31/2022,0.10318567783997588,0.17382043368887093,0.10014780085804394,0.12942243799402256,0.13209514155419216,0.21838550457771222,0.055156387118290476,0.090843287
phenology,SCBI,823,10,rcc_90,0.008583287,5,4,12/31/2022,0.13845338676129884,0.37350866538863364,0.15353411124762856,0.038398126,0.11227835586121675,0.10276844051863836,0.059867861,0.047160442
phenology,SERC,826,10,rcc_90,0.007959387,4,2,12/31/2022,0.15022630656457445,0.40894525566565526,0.2877084917203956,0.06634771,0.086627871,0.062222828,0.046388874,0.042366063
phenology,SJER,813,10,rcc_90,0.007530066,4,8,12/31/2022,0.028981124668002064,0.042189019,0.079520999,0.041659552842332664,0.005954251,0.060679978896332934,0.023812657,0.016556471013036356
phenology,SOAP,695,10,rcc_90,0.006198788,4,4,12/31/2022,0.022293284275459894,0.044738108961949644,0.10919583681131474,0.03979434,0.047932501576050404,0.057624624,0.018353888358236595,0.023029241253406912
phenology,SRER,822,10,rcc_90,0.005211922,8,5,12/31/2022,0.10867975926943525,0.027023956233655312,0.059316933,0.016850440684943294,0.013002113,0.042915703,0.013046766922693026,0.013586061892235452
phenology,STEI,823,10,rcc_90,0.010483573006817988,2,10,12/31/2022,0.06557715,0.1211327705313945,0.085551934,0.031222023079490405,0.041848225,0.070808238,0.025581015252381545,0.049900077
phenology,STER,797,10,rcc_90,0.010510231971928952,7,4,12/31/2022,0.082424917,0.37775355492134693,0.1719037274348704,0.066025291,0.044260976386170436,0.5821827645024263,0.052724375,0.096925494
phenology,TALL,822,10,rcc_90,0.003776716,4,2,12/31/2022,0.027812730753601907,0.016630474,0.038725611,0.010171625,0.032372099,0.022676104130742062,0.011950426,0.013345509187179626
phenology,TEAK,608,10,rcc_90,0.006028154,2,2,12/31/2022,0.025677068211963402,0.046059656,0.0380464,0.026790730970375543,0.042150288,0.048308873,0.02927511,0.036119909312545086
phenology,TOOL,505,10,rcc_90,0.013862902499891557,3,3,12/31/2022,0.9303045514917399,1.6133377316723618,0.15632412286778857,0.073388203,0.19224627508737646,0.18129734311462278,0.10989506957886101,0.1078941374850536
phenology,TREE,824,10,rcc_90,0.016310010008294608,3,8,12/31/2022,0.18151830915137793,0.41066974516037563,0.24724372770990488,0.090414557,0.11635406035507126,0.18825894407661242,0.074109105,0.1546726768594345
phenology,UKFS,822,10,rcc_90,0.006217133,6,6,12/31/2022,0.032647644863682095,0.071242028,0.089194518,0.0169605,0.047794004,0.074922161,0.01800446,0.022678279
phenology,UNDE,793,10,rcc_90,0.010499228,3,2,12/31/2022,0.14587384989520816,0.34779415221014803,0.22962308241508758,0.086152891,0.10501530467170299,0.13023782728458733,0.076162477,0.1086898242682437
